"Data","Lançamento","Categoria","Tipo","Valor"
"03/10/2024","Ifd*el Caquito Comida  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 29,90"
"02/10/2024","Google Wm Max Llc      Sao Paulo     Bra","OUTROS","Compra à vista","R$ 39,90"
"02/10/2024","Pague Menos            Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 77,28"
"02/10/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 29,00"
"02/10/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 14,10"
"02/10/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 9,93"
"01/10/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 57,48"
"01/10/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 14,98"
"01/10/2024","Jose Luiz Hernandes A  Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 35,00"
"01/10/2024","Beneditohelio          Sao Paulo     Bra","OUTROS","Compra à vista","R$ 25,00"
"01/10/2024","Odeteaparecida         Sao Paulo     Bra","OUTROS","Compra à vista","R$ 11,00"
"01/10/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 79,51"
"01/10/2024","Gleison Cordeiro Da Cr","SAUDE","Compra à vista","R$ 530,00"
"01/10/2024","Reino Do Artesanato    Sao Paulo     Bra","CONSTRUCAO","Compra à vista","R$ 36,00"
"01/10/2024","Agg                    Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 5,00"
"01/10/2024","Antonioluiz            Sao Paulo     Bra","OUTROS","Compra à vista","R$ 3,00"
"30/09/2024","Ifd*mario Cesar Santos Sao Paulo     Bra","OUTROS","Compra à vista","R$ 39,90"
"30/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 19,65"
"29/09/2024","Ifd*mi Madre Tatuape L Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 124,40"
"29/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 30,36"
"28/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 21,24"
"28/09/2024","Antoniocarlosjose      Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 18,00"
"28/09/2024","Ifd*dtm Chicken Restau Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 62,89"
"28/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 8,75"
"28/09/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 15,58"
"27/09/2024","Ricardogomesde         Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 31,50"
"27/09/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 8,54"
"26/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 10,35"
"26/09/2024","Ifd*restaurante Arequi Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 28,90"
"25/09/2024","Ricardogomesde         Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 24,00"
"24/09/2024","Jorgeluciodasilva      Sao Paulo     Bra","OUTROS","Compra à vista","R$ 25,00"
"24/09/2024","Thainaradefreitas      Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 12,00"
"24/09/2024","Luciervas              Sao Paulo     Bra","VESTUARIO","Compra à vista","R$ 20,00"
"24/09/2024","Agg                    Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 10,00"
"24/09/2024","Dafineetsuko           Mogi Das Cruz Bra","OUTROS","Compra à vista","R$ 4,00"
"24/09/2024","Priscilla              Sao Paulo     Bra","OUTROS","Compra à vista","R$ 35,00"
"23/09/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 14,33"
"22/09/2024","Bar E Lanches Morango  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 50,50"
"21/09/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 50,32"
"21/09/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 28,28"
"20/09/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 76,63"
"20/09/2024","Ricardo Gomes De Mace  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 13,00"
"20/09/2024","Drive Barbearia Tatuap Sao Paulo     Bra","OUTROS","Compra à vista","R$ 60,00"
"20/09/2024","Supermercado Rossi     Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 6,98"
"19/09/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 14,00"
"19/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 14,03"
"17/09/2024","Evelyn Flores          Guarulhos     Bra","OUTROS","Compra à vista","R$ 20,00"
"17/09/2024","Comercio De Alimentos  Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 10,00"
"16/09/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 100,66"
"16/09/2024","Iof Internacional","OUTROS","Compra à vista","R$ 0,80"
"16/09/2024","Acougue                Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 100,63"
"16/09/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 10,59"
"16/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 8,75"
"15/09/2024","Elettrica Comercio De  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 80,00"
"15/09/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 111,07"
"15/09/2024","Caristo Farma Drogaria Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 25,99"
"14/09/2024","Ifd*mi Madre Tatuape L Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 48,90"
"14/09/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 54,59"
"13/09/2024","Ricardogomesde         Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 22,00"
"12/09/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 14,96"
"12/09/2024","Uber Uber *trip Help.u Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 3,62"
"12/09/2024","Cafe E Salg Quero Mais Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 27,90"
"12/09/2024","Steam Purchase         Seattle       Deu","OUTROS","Compra à vista","R$ 18,29"
"12/09/2024","Ifd*geovania Soares Da Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 48,98"
"12/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 13,98"
"12/09/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 5,25"
"11/09/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 21,00"
"11/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 29,44"
"09/09/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 58,32"
"09/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 14,63"
"09/09/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 24,99"
"09/09/2024","Ifd*rdp Restaurantes L Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 64,90"
"08/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 22,89"
"08/09/2024","Pague Menos            Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 65,50"
"08/09/2024","Pagamento On Line","OUTROS","Compra à vista","-R$ 70,00"
"07/09/2024","Vq18 Ltda              Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 103,71"
"07/09/2024","Ifd*animax Fast-food E Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 6,70"
"07/09/2024","Smarketplace Servicos  Sao Paulo     Bra","OUTROS","Compra à vista","R$ 10,00"
"07/09/2024","Cinemark Santa Cruz    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 46,00"
"06/09/2024","Academia Modelar","ENTRETENIMENTO","Compra à vista","R$ 1.078,80"
"06/09/2024","Pague Menos            Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 60,87"
"06/09/2024","Ponto De Encontro Sal  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 18,40"
"06/09/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 41,44"
"06/09/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 11,70"
"05/09/2024","Pagamento De Fatura","OUTROS","Compra à vista","-R$ 3.614,55"
"02/09/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 100,51"
"02/09/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 10,94"
"02/09/2024","Google Wm Max Llc      Sao Paulo     Bra","OUTROS","Compra à vista","R$ 39,90"
"02/09/2024","Workmeatacougue        Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 105,72"
"02/09/2024","Dia Brasil Lj 94       Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 93,24"
"01/09/2024","Ifd*haya Falafel Mooca Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 100,99"
"31/08/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 18,90"
"31/08/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 8,39"
"31/08/2024","Bobs Tatuape           Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 17,00"
"31/08/2024","Jeronimotatuape        Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 54,10"
"31/08/2024","Cafe E Salg Quero Mais Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 15,90"
"31/08/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 27,15"
"30/08/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 21,27"
"30/08/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 25,10"
"28/08/2024","Ifd*rdp Restaurantes L Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 91,80"
"27/08/2024","Pague Menos            Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 59,23"
"27/08/2024","Ifd*dtm Chicken Restau Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 109,29"
"26/08/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 10,94"
"26/08/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 8,75"
"25/08/2024","Caristo Farma Drogaria Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 98,97"
"23/08/2024","Ifd*explorer Restauran Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 30,90"
"23/08/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 67,46"
"20/08/2024","Embala Tudo Comercio D Sao Paulo     Bra","COMPRAS","Compra à vista","R$ 18,90"
"20/08/2024","Ricardo Gomes De Mace  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 14,00"
"18/08/2024","Amazon Marketplace     Sao Paulo     Bra","VESTUARIO","Compra à vista","R$ 59,90"
"18/08/2024","Momo Lamen             Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 72,60"
"18/08/2024","Li2 Liberdade 2        Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 15,90"
"18/08/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 231,80"
"17/08/2024","Ponto De Encontro Sal  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 26,90"
"17/08/2024","Ifd*el Caquito Comida  Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 37,89"
"17/08/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 48,99"
"17/08/2024","Ifd*restaurante Arequi Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 67,80"
"17/08/2024","Espetinhos             Cotia         Bra","OUTROS","Compra à vista","R$ 5,00"
"16/08/2024","Popeyes                Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 43,00"
"15/08/2024","Rhn                    Sao Paulo     Bra","CULTURA","Compra à vista","R$ 14,00"
"15/08/2024","Mp *alipaybrasil       So Paulo      Bra","OUTROS","Compra à vista","R$ 149,22"
"15/08/2024","Drive Barbearia Tatuap Sao Paulo     Bra","OUTROS","Compra à vista","R$ 60,00"
"15/08/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 8,75"
"15/08/2024","Mp *megalicencas       So Paulo      Bra","COMPRAS","Compra à vista","R$ 89,00"
"15/08/2024","Construdec2            Sao Paulo     Bra","CONSTRUCAO","Compra à vista","R$ 18,00"
"14/08/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 14,91"
"14/08/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 16,92"
"13/08/2024","Ifd*pitaya Delivery E  Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 43,80"
"13/08/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 12,96"
"13/08/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 87,06"
"13/08/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 14,96"
"13/08/2024","Pague Menos            Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 144,99"
"12/08/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 78,30"
"11/08/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 23,73"
"11/08/2024","Carrefour Boulevar     Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 12,21"
"11/08/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 7,17"
"10/08/2024","Ifd*jcf Alimentos Ltda Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 67,39"
"09/08/2024","Nazario                Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 7,00"
"09/08/2024","Amazon Br              Sao Paulo     Bra","VESTUARIO","Compra à vista","R$ 38,97"
"08/08/2024","Ifd*mi Madre Tatuape L Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 44,50"
"08/08/2024","Antoniocarlosjose      Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 18,00"
"08/08/2024","Ifd*animax Fast-food E Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 47,79"
"07/08/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 4,35"
"07/08/2024","Mercado Sempre Mais Lt Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 173,99"
"06/08/2024","Ifd*animax Fast-food E Sao Paulo     Bra","RESTAURANTES","Compra à vista","R$ 48,79"
"05/08/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 13,98"
"05/08/2024","Uber   *uber   *trip   Sao Paulo     Bra","TRANSPORTE","Compra à vista","R$ 11,18"
"05/08/2024","Hirota Grand Club Tatu Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 3,05"
"05/08/2024","Pague Menos            Sao Paulo     Bra","DROGARIA","Compra à vista","R$ 210,66"
"05/08/2024","Acj Chocolateria Ltda  Sao Paulo     Bra","SUPERMERCADO","Compra à vista","R$ 25,50"
